t,yn,un
0.0,0.0013472764175106564,1.0
0.2,0.02155025539276294,1.0
0.4,0.1551566984348035,1.0
0.6000000000000001,0.40408126013922463,1.0
0.8,0.7402784956009475,1.0
1.0,1.036745653201426,1.0
1.2000000000000002,1.3011058736903234,1.0
1.4000000000000001,1.3989493640839505,1.0
1.6,1.35357426671447,1.0
1.8,1.1999335836563099,1.0
2.0,0.9932356906204937,1.0
2.2,0.8112979405799521,1.0
2.4000000000000004,0.7043742076048616,1.0
2.6,0.7161781216741993,1.0
2.8000000000000003,0.7716037044872693,1.0
3.0,0.9407912517676115,1.0
3.2,1.088338568430502,1.0
3.4000000000000004,1.1846301957586185,1.0
3.6,1.2206838663430537,1.0
3.8000000000000003,1.1742445280880505,1.0
4.0,1.0771163353914524,1.0
4.2,0.9914222051318127,1.0
4.4,0.8960044841850008,1.0
4.6000000000000005,0.8491450547360564,1.0
4.800000000000001,0.8485544973758568,1.0
5.0,0.9246010350759721,1.0
5.2,0.991181884993102,1.0
5.4,1.0420471631819987,1.0
5.6000000000000005,1.0919241129491435,1.0
5.800000000000001,1.1017116597404195,1.0
6.0,1.0801385180978982,1.0
6.2,1.01794205191472,1.0
6.4,1.012047022273483,1.0
6.6000000000000005,0.9660414405616748,1.0
6.800000000000001,0.9422861450644431,1.0
7.0,0.9449544276600156,1.0
7.2,0.9438495915529745,1.0
7.4,0.9994148619908763,1.0
7.6000000000000005,1.0220892869271558,1.0
7.800000000000001,1.0472646233882552,1.0
8.0,1.0572033505090257,1.0
8.200000000000001,1.0469622672021812,1.0
8.4,1.0221131011759261,1.0
8.6,0.9891678409384559,1.0
8.8,0.9762518638256471,1.0
9.0,0.9701360354250411,1.0
9.200000000000001,0.9656271242035293,1.0
9.4,0.9951555411066397,1.0
9.600000000000001,0.9858809842950161,1.0
9.8,1.0231923215674839,1.0
10.0,1.0111407083926696,1.0
10.200000000000001,1.019966211945131,1.0
10.4,1.0325104186792216,1.0
10.600000000000001,0.9958417659953205,1.0
10.8,0.9769119407388575,1.0
11.0,0.9622457662240471,1.0
11.200000000000001,0.988890541312994,1.0
11.4,0.9757957937613173,1.0
11.600000000000001,0.9929185187840013,1.0
11.8,0.9853056289610624,1.0
12.0,0.9943534645664762,1.0
12.200000000000001,1.0073033905941495,1.0
12.4,1.0125880498069972,1.0
12.600000000000001,1.0102588377615889,1.0
12.8,0.9991696084687588,1.0
13.0,1.007888712783353,1.0
13.200000000000001,1.0061224042971555,1.0
13.4,0.9839807114311465,1.0
13.600000000000001,0.9985711498485607,1.0
13.8,0.9994556396099394,1.0
14.0,1.0055451687597645,1.0
14.200000000000001,1.00500977290632,1.0
14.4,1.0163028889827437,1.0
14.600000000000001,1.005138848953248,1.0
14.8,1.00827737333142,1.0
15.0,0.9893325985929725,1.0
15.200000000000001,1.0082311981242844,1.0
15.4,0.9980248463738858,1.0
15.600000000000001,0.9947556577115704,1.0
15.8,0.9865211316227482,1.0
16.0,1.0106297134211657,1.0
16.2,1.005135636258103,1.0
16.400000000000002,0.9980419966618564,1.0
16.6,0.9810483101830502,1.0
16.8,1.0025302375037568,1.0
17.0,1.0018296785118626,1.0
17.2,1.0002517092855285,1.0
17.400000000000002,0.9782386947403423,1.0
17.6,0.9975874428121536,1.0
17.8,0.9896843400076826,1.0
18.0,1.0057487819322113,1.0
18.2,1.0082032202399385,1.0
18.400000000000002,1.004611509241283,1.0
18.6,1.0034402238253797,1.0
18.8,1.0078056256285834,1.0
19.0,0.9969660472594676,1.0
19.200000000000003,0.9808998556284898,1.0
19.400000000000002,1.0040473131227816,1.0
19.6,1.0153623239083633,1.0
19.8,0.997071099140401,1.0
20.0,0.9955980692372144,1.0
20.200000000000003,0.9746178497998054,1.0
20.400000000000002,0.9966412914982187,1.0
20.6,0.9919580035685593,1.0
20.8,1.0195574954356577,1.0
21.0,1.0147573254495625,1.0
21.200000000000003,0.9985815528617105,1.0
21.400000000000002,1.0005141527852293,1.0
21.6,0.975642726303573,1.0
21.8,0.9964350257933041,1.0
22.0,0.9927050259921834,1.0
22.200000000000003,1.0133553155245583,1.0
22.400000000000002,1.0030014495305206,1.0
22.6,1.0010073890889777,1.0
22.8,1.0094129041975008,1.0
23.0,0.9905208609535882,1.0
23.200000000000003,0.9933045689362172,1.0
23.400000000000002,1.0021469494440998,1.0
23.6,1.0054949976282268,1.0
23.8,1.004395056067774,1.0
24.0,1.0124213956648525,1.0
24.200000000000003,1.0014306380375009,1.0
24.400000000000002,0.9876885351543269,1.0
24.6,0.9973719592981437,1.0
24.8,0.9963516419342755,1.0
25.0,1.0131677919235773,1.0
